ticker,trade_date,price,momentum_12_1,sma_20,sma_50,sma_200,sma_stack_flag,rsi_14,rsi_band
AAPL,2025-11-26,277.549988,0.174381,271.128015,261.634909,226.545440,t,63.020712,neutral
ABBV,2025-11-26,227.660004,0.330862,226.314999,226.805098,201.238682,f,60.184317,neutral
ABT,2025-11-26,128.539993,0.095525,126.869000,129.433592,130.104379,f,59.153489,neutral
ACN,2025-11-26,247.850006,-0.283536,245.389001,244.730000,283.433337,f,56.802513,neutral
ADBE,2025-11-26,317.519989,-0.297257,328.303499,341.320599,373.565149,f,41.104047,neutral
AMD,2025-11-26,214.240005,0.864908,236.148500,217.604000,149.983200,f,40.678645,neutral
AMZN,2025-11-26,229.160004,0.162997,236.153500,227.527600,214.656900,f,36.482289,neutral
AVGO,2025-11-26,397.570007,1.293296,357.887501,349.931787,269.954084,t,66.099095,neutral
BAC,2025-11-26,52.990002,0.151366,52.713000,51.864000,46.104576,t,47.910871,neutral
BRK-B,2025-11-26,511.230011,0.010219,498.027001,495.538000,497.376099,f,68.662303,neutral
CAT,2025-11-26,573.729980,0.339380,562.426502,525.437947,404.655594,t,52.185914,neutral
CMCSA,2025-11-26,26.570000,-0.300985,27.263000,29.067702,32.770672,f,42.094036,neutral
COST,2025-11-26,908.260010,-0.037697,912.561002,923.399640,963.468831,f,42.251679,neutral
CRM,2025-11-26,228.149994,-0.252093,241.048500,244.128601,261.377665,f,38.689986,neutral
CSCO,2025-11-26,76.070000,0.272293,74.692500,71.286236,65.398856,t,68.698907,neutral
DHR,2025-11-26,228.460007,-0.074731,219.202500,210.803731,201.893390,t,77.044696,overbought
DIS,2025-11-26,103.430000,-0.026174,108.504500,110.791600,109.597532,f,36.779030,neutral
GOOGL,2025-11-26,319.950012,0.630551,290.405501,266.578400,201.155727,t,69.126292,neutral
HD,2025-11-26,355.470001,-0.059773,361.432498,380.973999,374.280790,f,41.996229,neutral
HON,2025-11-26,189.990005,-0.049423,194.631343,195.271968,200.278580,f,41.776942,neutral
IBM,2025-11-26,303.209991,0.430183,303.025917,291.104434,263.214753,t,43.916537,neutral
INTC,2025-11-26,36.810001,0.695102,36.839001,36.300800,25.672100,f,48.011096,neutral
JNJ,2025-11-26,207.559998,0.243621,194.284449,188.908183,166.526745,t,98.238560,overbought
JPM,2025-11-26,307.640015,0.254573,307.628500,306.652997,276.435097,t,44.137935,neutral
KO,2025-11-26,72.879997,0.130635,70.687500,68.761600,69.240238,f,77.842465,overbought
LIN,2025-11-26,407.899994,-0.014049,417.557004,443.780803,456.799552,f,41.494693,neutral
LOW,2025-11-26,241.610001,-0.059397,232.838501,240.627638,233.719096,f,59.657379,neutral
MA,2025-11-26,544.929993,0.092773,546.360495,560.364844,559.157883,f,44.411703,neutral
MCD,2025-11-26,312.399994,0.080168,304.057498,303.375399,303.900031,f,70.762820,overbought
MDT,2025-11-26,105.019997,0.116978,96.118499,95.585324,89.426771,t,89.244482,overbought
META,2025-11-26,633.609985,0.348147,619.997504,688.911175,672.835792,f,56.863475,neutral
MRK,2025-11-26,104.629997,-0.090005,91.891000,87.714800,83.288349,t,89.319966,overbought
MSFT,2025-11-26,485.500000,0.307071,498.826767,510.056519,466.001699,f,43.311350,neutral
NKE,2025-11-26,64.330002,-0.109480,62.950500,66.786400,67.751872,f,57.692321,neutral
NVDA,2025-11-26,180.259995,0.416609,190.003002,186.814601,153.428405,f,43.504975,neutral
ORCL,2025-11-26,204.960007,0.474976,229.044001,266.537957,210.368715,f,26.540237,oversold
PEP,2025-11-26,147.979996,-0.037511,145.311001,145.722400,140.618791,f,70.725364,overbought
PFE,2025-11-26,25.709999,0.006554,24.868005,24.625145,23.803760,t,62.622282,neutral
PG,2025-11-26,148.250000,-0.118623,147.717500,149.579122,157.399193,f,55.614402,neutral
QCOM,2025-11-26,165.139999,0.180590,171.026999,169.399800,156.544862,f,38.910294,neutral
TMO,2025-11-26,593.250000,0.090280,576.187997,543.852800,479.001730,t,65.591743,neutral
TSLA,2025-11-26,426.579987,0.306302,426.641000,433.683800,339.947600,f,43.148789,neutral
TXN,2025-11-26,165.350006,-0.137351,160.117001,169.509662,180.200054,f,56.299587,neutral
UNH,2025-11-26,329.709991,-0.363959,325.832495,343.644398,364.285898,f,55.419597,neutral
UPS,2025-11-26,95.669998,-0.249195,93.339685,88.100586,93.845055,f,59.705477,neutral
V,2025-11-26,333.790009,0.125043,333.456554,339.448851,344.451058,f,46.813420,neutral
VZ,2025-11-26,40.880001,-0.026022,40.395000,40.830040,41.670976,f,60.392136,neutral
WFC,2025-11-26,85.559998,0.162770,85.213418,83.890511,77.033613,t,49.847994,neutral
WMT,2025-11-26,109.099998,0.151879,103.243500,103.710000,97.685063,f,68.132946,neutral
XOM,2025-11-26,114.769997,-0.029331,115.944261,113.939767,108.835166,f,53.728579,neutral
